YEAR,SEQ,SIDO_CD,SIDO,JIJACE,DAY_SUM1,DAY_CAR1,DAY_CARS1,DAY_CARH1,DAY_CART1,DAY_SUM2,DAY_CAR2,DAY_CARS2,DAY_CARH2,DAY_CART2,DAY_SUM3,DAY_CAR3,DAY_CARS3,DAY_CARH3,DAY_CART3
2018,122,42000,강원도,속초시,35.7,34.4,49.0,38.1,30.2,33.2,32.6,36.6,35.7,32.8,97.2,94.0,155.7,88.7,27.6
2018,133,42000,강원도,고성군,37.9,38.4,46.9,34.7,75.5,36.9,38.0,42.4,33.1,30.0,116.4,105.5,157.5,112.4,110.1
2017,122,42000,강원도,속초시,35.7,34.1,48.9,39.6,29.0,33.1,32.1,36.7,37.2,27.7,107.5,106.3,168.2,90.2,30.4
2017,133,42000,강원도,고성군,38.1,38.4,49.1,35.0,72.3,37.2,38.1,45.2,33.6,29.0,111.5,90.7,155.8,111.2,128.7
2016,6,42000,강원도,속초시,35.9,34.4,49.8,39.3,27.3,33.2,32.1,39.1,36.7,25.6,106.7,105.2,154.7,93.2,30.0
2016,17,42000,강원도,고성군,38.7,39.2,52.2,34.7,73.6,37.6,38.7,46.3,33.6,23.8,109.6,100.4,149.8,89.5,142.7
2015,6,42000,강원도,속초시,36.6,35.3,47.8,39.4,26.9,32.7,31.6,37.4,36.6,26.5,124.0,132.8,149.2,90.9,27.3
2015,17,42000,강원도,고성군,37.4,37.7,50.1,34.1,67.6,35.8,36.5,43.4,33.1,24.9,123.7,133.7,153.9,89.7,123.5
2014,6,42000,강원도,속초시,36.7,35.6,48.3,38.3,24.2,33.0,32.0,38.8,36.0,25.7,119.8,125.3,167.5,84.6,21.4
2014,17,42000,강원도,고성군,37.8,38.2,49.1,34.1,93.6,36.6,37.4,44.5,32.9,39.8,103.0,117.7,136.5,72.9,155.0
2013,6,42000,강원도,속초시,36.9,35.8,45.8,38.6,27.7,32.9,31.9,37.0,36.3,21.3,130.0,140.2,167.6,85.2,35.1
2013,17,42000,강원도,고성군,38.1,38.5,46.4,35.0,91.6,36.5,37.3,40.6,33.6,57.6,123.9,126.7,194.6,95.5,122.6
2012,6,42000,강원도,속초시,40.1,39.4,50.0,39.3,30.4,34.8,33.7,39.8,36.9,16.4,134.6,142.7,180.8,88.7,47.1
2012,17,42000,강원도,고성군,39.6,40.2,53.0,34.9,104.6,36.9,38.0,43.2,33.6,46.9,156.6,164.1,231.5,103.5,156.7
